date,state,death,death_confirmed,death_increase,death_probable,hospitalized,hospitalized_currently,hospitalized_increase,in_icu_cumulative,in_icu_currently,negative,negative_increase,negative_tests_antibody,Negative_Antibody_Tests_People,negative_tests_viral,on_ventilator_cumulative,on_ventilator_currently,positive,positive_cases_viral,positive_increase,Positive_Antibody_Test,Positive_Antigen_Test,Positive_Antibody_Test_People,positive_tests_people_antigen,positive_tests_viral,recovered,total_test_encounters_viral,total_test_encounters_viral_increase,total_test_results,total_test_results_increase,total_tests_antibody,total_tests_antigen,total_tests_people_antibody,total_tests_people_antigen,total_tests_people_viral,total_tests_people_viral_increase,total_tests_viral,total_tests_viral_increase
2021-01-09,CO,5190,4469,52,669.0,19962.0,915.0,107,0.0,0.0,1886849.0,8733,264123.0,0.0,0.0,0.0,0.0,358947.0,343075.0,2837,34893.0,0.0,0.0,0.0,0.0,0.0,4736803.0,43809,4736803.0,43809,299016.0,0.0,0.0,0.0,2229924.0,11417,0.0,0
2021-01-08,CO,5138,4469,36,669.0,19855.0,915.0,121,0.0,0.0,1878116.0,7884,260831.0,0.0,0.0,0.0,0.0,356110.0,340391.0,3187,33998.0,0.0,0.0,0.0,0.0,0.0,4692994.0,43560,4692994.0,43560,297755.0,0.0,0.0,0.0,2218507.0,10819,0.0,0
2021-01-07,CO,5102,4436,52,666.0,19734.0,954.0,31,0.0,0.0,1870232.0,19343,260831.0,0.0,0.0,0.0,0.0,352923.0,337456.0,3473,33998.0,0.0,0.0,0.0,0.0,0.0,4649434.0,51679,4649434.0,51679,294829.0,0.0,0.0,0.0,2207688.0,12377,0.0,0
2021-01-06,CO,5050,4333,59,658.0,19703.0,988.0,885,0.0,0.0,1850889.0,0,258225.0,0.0,0.0,0.0,0.0,349450.0,332332.0,2557,33330.0,0.0,0.0,0.0,0.0,0.0,4597755.0,35699,4597755.0,35699,291555.0,0.0,0.0,0.0,2195311.0,12090,0.0,0
2021-01-05,CO,4991,4333,47,658.0,18818.0,988.0,71,0.0,0.0,1850889.0,13956,255008.0,0.0,0.0,0.0,0.0,346893.0,332332.0,3458,32506.0,0.0,0.0,0.0,0.0,0.0,4562056.0,32282,4562056.0,32282,289064.0,0.0,0.0,0.0,2183221.0,17209,0.0,0
2021-01-04,CO,4944,4290,10,654.0,18747.0,1015.0,34,0.0,0.0,1836933.0,5058,254127.0,0.0,0.0,0.0,0.0,343435.0,329079.0,2185,32293.0,0.0,0.0,0.0,0.0,0.0,4529774.0,27278,4529774.0,27278,287514.0,0.0,0.0,0.0,2166012.0,7184,0.0,0
2021-01-03,CO,4934,4280,22,654.0,18713.0,991.0,35,0.0,0.0,1831875.0,4869,252963.0,0.0,0.0,0.0,0.0,341250.0,326953.0,2078,32004.0,0.0,0.0,0.0,0.0,0.0,4502496.0,27749,4502496.0,27749,286420.0,0.0,0.0,0.0,2158828.0,6876,0.0,0
2021-01-02,CO,4912,4259,39,653.0,18678.0,1016.0,27,0.0,0.0,1827006.0,4539,251504.0,0.0,0.0,0.0,0.0,339172.0,324946.0,2011,31514.0,0.0,0.0,0.0,0.0,0.0,4474747.0,30541,4474747.0,30541,284967.0,0.0,0.0,0.0,2151952.0,6541,0.0,0
2021-01-01,CO,4873,4221,59,652.0,18651.0,1044.0,53,0.0,0.0,1822467.0,6898,249633.0,0.0,0.0,0.0,0.0,337161.0,322944.0,3064,31022.0,0.0,0.0,0.0,0.0,0.0,4444206.0,37539,4444206.0,37539,283018.0,0.0,0.0,0.0,2145411.0,9821,0.0,0
2020-12-31,CO,4814,4168,64,646.0,18598.0,1086.0,96,0.0,0.0,1815569.0,6029,247103.0,0.0,0.0,0.0,0.0,334097.0,320021.0,3238,30488.0,0.0,0.0,0.0,0.0,0.0,4406667.0,38536,4406667.0,38536,280655.0,0.0,0.0,0.0,2135590.0,9018,0.0,0
2020-12-30,CO,4750,4111,63,639.0,18502.0,1150.0,272,0.0,0.0,1809540.0,5337,247103.0,0.0,0.0,0.0,0.0,330859.0,317032.0,2451,30488.0,0.0,0.0,0.0,0.0,0.0,4368131.0,24722,4368131.0,24722,277591.0,0.0,0.0,0.0,2126572.0,7598,0.0,0
2020-12-29,CO,4687,4047,56,640.0,18230.0,1188.0,268,0.0,0.0,1804203.0,3265,244844.0,0.0,0.0,0.0,0.0,328408.0,314771.0,1740,29935.0,0.0,0.0,0.0,0.0,0.0,4343409.0,14513,4343409.0,14513,276149.0,0.0,0.0,0.0,2118974.0,4718,0.0,0
2020-12-28,CO,4631,4001,21,630.0,17962.0,1173.0,50,0.0,0.0,1800938.0,4869,243873.0,0.0,0.0,0.0,0.0,326668.0,313318.0,1650,29709.0,0.0,0.0,0.0,0.0,0.0,4328896.0,22325,4328896.0,22325,274779.0,0.0,0.0,0.0,2114256.0,6480,0.0,0
2020-12-27,CO,4610,3979,18,631.0,17912.0,1186.0,52,0.0,0.0,1796069.0,4142,243405.0,0.0,0.0,0.0,0.0,325018.0,311707.0,1399,29565.0,0.0,0.0,0.0,0.0,0.0,4306571.0,31783,4306571.0,31783,273582.0,0.0,0.0,0.0,2107776.0,5504,0.0,0
2020-12-26,CO,4592,3953,6,639.0,17860.0,1168.0,21,0.0,0.0,1791927.0,4333,241681.0,0.0,0.0,0.0,0.0,323619.0,310345.0,1430,29117.0,0.0,0.0,0.0,0.0,0.0,4274788.0,23746,4274788.0,23746,272970.0,0.0,0.0,0.0,2102272.0,5771,0.0,0
2020-12-25,CO,4586,3948,36,638.0,17839.0,1169.0,46,0.0,0.0,1787594.0,10386,239810.0,0.0,0.0,0.0,0.0,322189.0,308907.0,2659,28563.0,0.0,0.0,0.0,0.0,0.0,4251042.0,53092,4251042.0,53092,270798.0,0.0,0.0,0.0,2096501.0,12954,0.0,0
2020-12-24,CO,4550,3913,88,637.0,17793.0,1260.0,151,0.0,0.0,1777208.0,10504,237668.0,0.0,0.0,0.0,0.0,319530.0,306339.0,3030,28074.0,0.0,0.0,0.0,0.0,0.0,4197950.0,44166,4197950.0,44166,268373.0,0.0,0.0,0.0,2083547.0,13350,0.0,0
2020-12-23,CO,4462,3831,93,631.0,17642.0,1336.0,161,0.0,0.0,1766704.0,10601,235832.0,0.0,0.0,0.0,0.0,316500.0,303493.0,2948,27602.0,0.0,0.0,0.0,0.0,0.0,4153784.0,43042,4153784.0,43042,265742.0,0.0,0.0,0.0,2070197.0,13403,0.0,0
2020-12-22,CO,4369,3747,-9,622.0,17481.0,1358.0,253,0.0,0.0,1756103.0,7399,233980.0,0.0,0.0,0.0,0.0,313552.0,300691.0,2516,27108.0,0.0,0.0,0.0,0.0,0.0,4110742.0,34321,4110742.0,34321,263434.0,0.0,0.0,0.0,2056794.0,9673,0.0,0
2020-12-21,CO,4378,3769,10,609.0,17228.0,1386.0,57,0.0,0.0,1748704.0,10396,232595.0,0.0,0.0,0.0,0.0,311036.0,298417.0,2146,26811.0,0.0,0.0,0.0,0.0,0.0,4076421.0,31861,4076421.0,31861,261088.0,0.0,0.0,0.0,2047121.0,12488,0.0,0
